cup,result,group,date,matchnum,away,home
2014 FIFA World Cup Brazil™,3-1,Group A,12 Jun 2014,Match 1,Croatia,Brazil
2014 FIFA World Cup Brazil™,1-0,Group A,13 Jun 2014,Match 2,Cameroon,Mexico
2014 FIFA World Cup Brazil™,1-5,Group B,13 Jun 2014,Match 3,Netherlands,Spain
2014 FIFA World Cup Brazil™,3-1,Group B,13 Jun 2014,Match 4,Australia,Chile
2014 FIFA World Cup Brazil™,3-0,Group C,14 Jun 2014,Match 5,Greece,Colombia
2014 FIFA World Cup Brazil™,1-3,Group D,14 Jun 2014,Match 7,Costa Rica,Uruguay
2010 FIFA World Cup South Africa™,1-1,Group A,11 Jun 2010,Match 1,Mexico,South Africa
2014 FIFA World Cup Brazil™,1-2,Group D,14 Jun 2014,Match 8,Italy,England
2014 FIFA World Cup Brazil™,2-1,Group C,14 Jun 2014,Match 6,Japan,Côte d'Ivoire
2014 FIFA World Cup Brazil™,2-1,Group E,15 Jun 2014,Match 9,Ecuador,Switzerland
2014 FIFA World Cup Brazil™,3-0,Group E,15 Jun 2014,Match 10,Honduras,France
2010 FIFA World Cup South Africa™,0-0,Group A,11 Jun 2010,Match 2,France,Uruguay
2010 FIFA World Cup South Africa™,2-0,Group B,12 Jun 2010,Match 4,Greece,Korea Republic
2010 FIFA World Cup South Africa™,1-0,Group B,12 Jun 2010,Match 3,Nigeria,Argentina
2010 FIFA World Cup South Africa™,1-1,Group C,12 Jun 2010,Match 5,USA,England
2010 FIFA World Cup South Africa™,0-1,Group C,13 Jun 2010,Match 6,Slovenia,Algeria
2014 FIFA World Cup Brazil™,2-1,Group F,15 Jun 2014,Match 11,Bosnia and Herzegovina,Argentina
2014 FIFA World Cup Brazil™,4-0,Group G,16 Jun 2014,Match 13,Portugal,Germany
2014 FIFA World Cup Brazil™,0-0,Group F,16 Jun 2014,Match 12,Nigeria,IR Iran
2014 FIFA World Cup Brazil™,1-2,Group G,16 Jun 2014,Match 14,USA,Ghana
2014 FIFA World Cup Brazil™,2-1,Group H,17 Jun 2014,Match 15,Algeria,Belgium
2010 FIFA World Cup South Africa™,0-1,Group D,13 Jun 2010,Match 8,Ghana,Serbia
2010 FIFA World Cup South Africa™,4-0,Group D,13 Jun 2010,Match 7,Australia,Germany
2010 FIFA World Cup South Africa™,2-0,Group E,14 Jun 2010,Match 9,Denmark,Netherlands
2010 FIFA World Cup South Africa™,1-0,Group E,14 Jun 2010,Match 10,Cameroon,Japan
2014 FIFA World Cup Brazil™,0-0,Group A,17 Jun 2014,Match 17,Mexico,Brazil
2014 FIFA World Cup Brazil™,1-1,Group H,17 Jun 2014,Match 16,Korea Republic,Russia
2014 FIFA World Cup Brazil™,2-3,Group B,18 Jun 2014,Match 20,Netherlands,Australia
2014 FIFA World Cup Brazil™,0-2,Group B,18 Jun 2014,Match 19,Chile,Spain
2014 FIFA World Cup Brazil™,0-4,Group A,18 Jun 2014,Match 18,Croatia,Cameroon
2010 FIFA World Cup South Africa™,1-1,Group F,14 Jun 2010,Match 11,Paraguay,Italy
2010 FIFA World Cup South Africa™,1-1,Group F,15 Jun 2010,Match 12,Slovakia,New Zealand
2010 FIFA World Cup South Africa™,0-0,Group G,15 Jun 2010,Match 13,Portugal,Côte d'Ivoire
2010 FIFA World Cup South Africa™,2-1,Group G,15 Jun 2010,Match 14,Korea DPR,Brazil
2010 FIFA World Cup South Africa™,0-1,Group H,16 Jun 2010,Match 15,Chile,Honduras
2014 FIFA World Cup Brazil™,2-1,Group C,19 Jun 2014,Match 21,Côte d'Ivoire,Colombia
2014 FIFA World Cup Brazil™,2-1,Group D,19 Jun 2014,Match 23,England,Uruguay
2014 FIFA World Cup Brazil™,0-0,Group C,19 Jun 2014,Match 22,Greece,Japan
2014 FIFA World Cup Brazil™,0-1,Group D,20 Jun 2014,Match 24,Costa Rica,Italy
2010 FIFA World Cup South Africa™,0-1,Group H,16 Jun 2010,Match 16,Switzerland,Spain
2010 FIFA World Cup South Africa™,0-3,Group A,16 Jun 2010,Match 17,Uruguay,South Africa
2010 FIFA World Cup South Africa™,4-1,Group B,17 Jun 2010,Match 20,Korea Republic,Argentina
2010 FIFA World Cup South Africa™,2-1,Group B,17 Jun 2010,Match 19,Nigeria,Greece
2014 FIFA World Cup Brazil™,2-5,Group E,20 Jun 2014,Match 25,France,Switzerland
2014 FIFA World Cup Brazil™,1-2,Group E,20 Jun 2014,Match 26,Ecuador,Honduras
2014 FIFA World Cup Brazil™,1-0,Group F,21 Jun 2014,Match 27,IR Iran,Argentina
2014 FIFA World Cup Brazil™,2-2,Group G,21 Jun 2014,Match 29,Ghana,Germany
2014 FIFA World Cup Brazil™,1-0,Group F,21 Jun 2014,Match 28,Bosnia and Herzegovina,Nigeria
2010 FIFA World Cup South Africa™,0-2,Group A,17 Jun 2010,Match 18,Mexico,France
2010 FIFA World Cup South Africa™,0-1,Group D,18 Jun 2010,Match 21,Serbia,Germany
2010 FIFA World Cup South Africa™,2-2,Group C,18 Jun 2010,Match 22,USA,Slovenia
2010 FIFA World Cup South Africa™,0-0,Group C,18 Jun 2010,Match 23,Algeria,England
2010 FIFA World Cup South Africa™,1-0,Group E,19 Jun 2010,Match 25,Japan,Netherlands
2014 FIFA World Cup Brazil™,1-0,Group H,22 Jun 2014,Match 31,Russia,Belgium
2014 FIFA World Cup Brazil™,2-4,Group H,22 Jun 2014,Match 32,Algeria,Korea Republic
2014 FIFA World Cup Brazil™,2-2,Group G,22 Jun 2014,Match 30,Portugal,USA
2014 FIFA World Cup Brazil™,0-3,Group B,23 Jun 2014,Match 35,Spain,Australia
2010 FIFA World Cup South Africa™,1-1,Group D,19 Jun 2010,Match 24,Australia,Ghana
2010 FIFA World Cup South Africa™,1-2,Group E,19 Jun 2010,Match 26,Denmark,Cameroon
2010 FIFA World Cup South Africa™,0-2,Group F,20 Jun 2010,Match 27,Paraguay,Slovakia
2010 FIFA World Cup South Africa™,1-1,Group F,20 Jun 2010,Match 28,New Zealand,Italy
2010 FIFA World Cup South Africa™,3-1,Group G,20 Jun 2010,Match 29,Côte d'Ivoire,Brazil
2014 FIFA World Cup Brazil™,2-0,Group B,23 Jun 2014,Match 36,Chile,Netherlands
2014 FIFA World Cup Brazil™,1-4,Group A,23 Jun 2014,Match 33,Brazil,Cameroon
2014 FIFA World Cup Brazil™,1-3,Group A,23 Jun 2014,Match 34,Mexico,Croatia
