cup,result,group,date,matchnum,away,home,home_res,away_res,home_win,away_win,match,home_victories,away_victories,home_loss,away_loss,home_losses,away_losses,home_goals,away_goals,home_goals_against,away_goals_against
2014 FIFA World Cup Brazil™,3-1,Group A,12 Jun 2014,Match 1,Croatia,Brazil,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,1-0,Group A,13 Jun 2014,Match 2,Cameroon,Mexico,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,1-5,Group B,13 Jun 2014,Match 3,Netherlands,Spain,1,5,0,1,3,0,0,1,0,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,3-1,Group B,13 Jun 2014,Match 4,Australia,Chile,3,1,1,0,4,0,0,0,1,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,3-0,Group C,14 Jun 2014,Match 5,Greece,Colombia,3,0,1,0,5,0,0,0,1,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,1-3,Group D,14 Jun 2014,Match 7,Costa Rica,Uruguay,1,3,0,1,7,0,0,1,0,0,0,0,0,0,0
2010 FIFA World Cup South Africa™,1-1,Group A,11 Jun 2010,Match 1,Mexico,South Africa,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,1-2,Group D,14 Jun 2014,Match 8,Italy,England,1,2,0,1,8,0,0,1,0,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,2-1,Group C,14 Jun 2014,Match 6,Japan,Côte d'Ivoire,2,1,1,0,6,0,0,0,1,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,2-1,Group E,15 Jun 2014,Match 9,Ecuador,Switzerland,2,1,1,0,9,0,0,0,1,0,0,0,0,0,0
2014 FIFA World Cup Brazil™,3-0,Group E,15 Jun 2014,Match 10,Honduras,France,3,0,1,0,10,0,0,0,1,0,0,0,0,0,0
2010 FIFA World Cup South Africa™,0-0,Group A,11 Jun 2010,Match 2,France,Uruguay,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010 FIFA World Cup South Africa™,2-0,Group B,12 Jun 2010,Match 4,Greece,Korea Republic,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0
2010 FIFA World Cup South Africa™,1-0,Group B,12 Jun 2010,Match 3,Nigeria,Argentina,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0
2010 FIFA World Cup South Africa™,1-1,Group C,12 Jun 2010,Match 5,USA,England,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0
